Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,19,ORL,NBA,SF,76,59,1974,260,564,.461,32,117,.274,228,447,.510,.489,73,128,.570,122,213,335,50,88,62,69,144,625
2013-14,20,ORL,NBA,SF,80,41,1950,224,483,.464,59,154,.383,165,329,.502,.525,85,143,.594,69,195,264,80,97,50,86,140,592
2014-15,21,ORL,NBA,SF,45,4,674,63,158,.399,10,56,.179,53,102,.520,.430,22,41,.537,38,68,106,25,32,9,27,66,158
2015-16,22,POR,NBA,SF,78,14,1457,195,411,.474,39,140,.279,156,271,.576,.522,69,111,.622,101,179,280,67,49,35,62,124,498
2016-17,23,POR,NBA,SF,77,69,2223,314,624,.503,68,194,.351,246,430,.572,.558,77,124,.621,125,216,341,88,85,70,86,214,773
2017-18,24,POR,NBA,SF,59,36,1264,147,297,.495,49,118,.415,98,179,.547,.577,42,59,.712,46,116,162,53,48,43,40,103,385
2018-19,25,POR,NBA,SF,60,53,1415,189,388,.487,33,120,.275,156,268,.582,.530,49,73,.671,77,192,269,74,67,53,45,163,460
Career,,,NBA,,475,276,10957,1392,2925,.476,290,899,.323,1102,2026,.544,.525,417,679,.614,578,1179,1757,437,466,322,415,954,3491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,POR,NBA,,274,172,6359,845,1720,.491,189,572,.330,656,1148,.571,.546,237,367,.646,349,703,1052,282,249,201,233,604,2116
3 seasons,,ORL,NBA,,201,104,4598,547,1205,.454,101,327,.309,446,878,.508,.496,180,312,.577,229,476,705,155,217,121,182,350,1375